ISO,Year,suicideRateTotal,suicideRateMale,suicideRateFemale,unemploymentPTotal,unemploymentPMale,unemploymentPFemale,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,WineConsumption,SpiritsConsumption,BeerConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,incomeLevel,GrossNationalIncome
MU,2019,8.75,15.03,2.53,6.36,4.35,9.42,414.15,319.38,0.03,36.76,22.6615,11168.62,3.39,0.23,0.88,1.94,10.30,2.382,0,1.509,0,3,12900
MV,2019,2.76,4.07,0.85,5.82,5.97,5.22,529.75,445.33,0.00,31.29,16.2297,10626.48,1.38,0.59,0.45,0.33,8.20,2.390,2.151,0.478,0,2,9670
MW,2019,10.58,19.99,3.30,5.56,4.69,6.48,62.79,41.43,41.79,44.69,34.8481,434.77,2.04,0.00,0.25,0.08,51.50,0,0,0,0,0,550
MX,2019,5.29,8.69,2.18,3.48,3.46,3.52,410.83,276.30,0.62,45.38,35.6208,9848.60,4.25,0.19,0.19,3.72,41.90,0.207,3.459,0.530,2.239,2,9480
MY,2019,5.77,9.02,2.39,3.31,3.10,3.64,838.74,617.69,0.00,41.07,28.5746,11414.29,0.64,0.04,0.11,0.48,5.60,1.048,1.029,0,6.838,2,11230
MZ,2019,23.19,42.56,8.92,3.19,2.85,3.50,78.97,44.16,44.94,54.00,51.1990,503.75,1.46,0.22,0.21,1.03,46.10,0.046,0.389,0.018,0,0,490
NA,2019,13.51,24.88,4.35,19.75,20.94,18.53,335.30,163.54,6.71,59.07,64.2663,4957.36,2.38,0.16,0.53,1.37,17.40,0.371,1.443,0.206,0.907,2,5180
NE,2019,10.15,14.15,6.42,0.46,0.53,0.37,78.14,61.53,18.16,34.28,19.1532,554.58,0.11,0.01,0.06,0.04,40.80,0.014,0.019,0.028,0.126,0,600
NG,2019,6.87,10.13,3.79,8.53,9.35,7.45,85.13,68.77,16.88,35.13,20.5496,2361.21,4.49,0.09,0.40,0.73,40.10,0,0,0,0,1,2030
NI,2019,4.66,7.79,1.91,5.14,5.12,5.16,326.16,224.79,0.97,46.16,36.6636,1912.90,3.69,0.02,2.10,1.57,24.90,0.691,1.792,3.568,0,1,1900
NL,2019,9.27,12.48,6.06,3.38,3.40,3.36,1644.35,1447.68,0.11,28.12,14.0132,53052.81,8.23,2.92,1.36,3.95,13.60,20.870,123.464,0,0,3,53060
NO,2019,9.91,13.40,6.29,3.69,3.95,3.39,2122.47,1875.31,0.68,27.56,14.7708,74985.52,6.05,2.23,1.00,2.63,12.70,48.040,73.522,0,0,3,81620
NP,2019,9.77,18.56,2.94,2.85,3.00,2.73,119.04,96.28,3.76,32.84,17.5316,1073.62,0.36,0.00,0.13,0.22,25.20,0.356,0.523,0,0.558,1,1230
NZ,2019,10.30,15.39,5.41,4.07,3.79,4.38,0,0,0,0,0,43229.34,9.17,2.88,1.62,3.41,0,28.540,0,0,75.132,3,42450
OM,2019,4.47,6.43,1.12,1.84,0.83,7.37,0,0,0,0,0,15343.06,0.47,0.02,0.29,0.17,0,1.738,0.786,0,3.000,3,14150
PA,2019,2.86,4.80,0.98,4.74,3.99,5.82,814.79,531.60,0.51,49.84,45.8626,15727.97,6.54,0.02,1.20,5.29,22.10,4.031,7.331,9.221,3.452,3,14900
PE,2019,2.73,4.10,1.38,3.03,2.82,3.28,415.63,313.57,0.74,41.51,30.4731,6977.77,5.74,0.46,2.26,3.01,20.20,2.948,9.507,0,5.995,2,6790
PG,2019,3.57,5.21,1.93,2.37,3.40,1.29,96.88,73.08,22.03,41.85,30.7324,2845.19,1.26,0.06,0.60,0.60,39.90,0,0,0,0,1,2750
PH,2019,2.54,3.88,1.32,2.24,2.05,2.53,254.18,176.57,0.55,42.27,29.6292,3323.77,4.85,0.03,3.34,1.47,16.70,0.518,0.885,0,0,1,3850
PK,2019,9.77,14.55,4.75,3.98,3.89,4.32,144.20,115.34,0.63,31.60,16.3982,1186.69,0.04,0.00,0.04,0.00,24.30,0,0,0,0,1,1410
PL,2019,9.30,16.46,2.43,3.28,3.02,3.60,576.44,484.82,0.00,30.24,15.0102,15727.03,10.96,0.88,4.36,5.72,15.40,24.176,16.346,0,30.916,3,15350
PT,2019,7.22,11.58,3.46,6.46,5.80,7.15,907.35,745.60,0.26,33.49,19.7653,23350.35,10.37,6.04,1.34,2.62,17.20,0,0,0,0,3,23170
PY,2019,6.16,9.00,3.26,6.60,5.40,8.34,539.26,369.64,0.20,45.65,36.2996,5406.48,5.47,0.59,1.59,3.27,23.50,0,0,0,0,2,5510
QA,2019,4.66,5.66,1.69,0.12,0.07,0.42,0,0,0,0,0,64781.73,0.96,0.07,0.59,0.29,0,2.712,1.413,0.115,9.933,3,61180
RO,2019,7.33,12.62,2.37,3.91,4.31,3.38,558.15,475.49,0.97,35.76,25.9931,12914.11,10.96,3.38,2.25,5.33,23.80,5.665,1.479,0.503,18.710,3,12610
RS,2019,7.86,12.22,3.89,10.40,9.85,11.08,437.74,368.05,0.00,30.35,15.1346,7359.35,7.45,1.62,2.37,3.24,23.20,8.643,4.553,0.362,13.173,2,7030
